name,slug,district_slug,address,latitude,longitude,phone,rating_avg,rating_count,type_slug,source_name,external_id
Gaming lounge,gaming-lounge-central,nasimi,"9RGV+7MP, Bakı",40.3756875,49.8441875,,5.0,4,pc,Google Business Profile,ChIJ0-a6DtB9MEARoEZcPIOIBvQ
İmranın İnternet klubu,imranin-internet-klubu,narimanov,"Nizami Abdullayev küçəsi, 9VXW+GQQ, Bakı",40.3988125,49.8969375,,5.0,1,pc,Google Business Profile,ChIJ150ZBwBjMEARfYNUSwe1GD8
Oyun Zalı Playstation,oyun-zali-playstation,nizami,"Gənclik prospekti yolu, CX4C+W6R, Bakı",40.4073125,49.9705625,,,0,playstation,Google Business Profile,ChIJf3qyNaVjMEARiQTrxGO3-Ds
Gs Club Playstation/ELMLƏR,gs-club-playstation-elmler,yasamal,"Hüseyn Cavid prospekti 535/24, Bakı 1073",,,+994 55 644 19 05,5.0,12,playstation,Google Business Profile,ChIJ-R8QZzZ9MEAR0AIIj_bl8pA
Gameroom oyun zalı,gameroom-oyun-zali,nasimi,"Cavadxan küçəsi 17, Bakı 1102",,,,,0,pc,Google Business Profile,ChIJS-UWBgCHMEARrzD9tpyPgZk
ChillOut Gaming & Lounge,chillout-gaming-lounge,yasamal,"Məmmədcəfər Cəfərov küçəsi 16, Bakı 1111",,,+994 99 379 69 39,5.0,1,pc,Google Business Profile,ChIJy4wdziOHMEARmh5fY8XY6gE
Speed-Klub,speed-klub,nizami,"Böyükşor şossesi, Bakı",,,+994 50 641 92 10,4.4,11,pc,Google Business Profile,ChIJMaZk5ppiMEARCZls0SaZdnI
İnternet Klub Arena,internet-klub-arena,binaqadi,"CRQ5+7F8, Bakı",40.4381875,49.8086875,,5.0,1,pc,Google Business Profile,ChIJFyOZcgCHMEARwCaEZe_NxaI
PlayStation Klub Internet,playstation-klub-internet,binaqadi,"Süleyman Sani Axundov küçəsi 141, Bakı",,,,3.7,3,playstation,Google Business Profile,ChIJz2mnH6GHMEAR7JqRZuW157s
Control Gaming Center,control-gaming-center,binaqadi,"Mir Cəlal küçəsi 72A, Bakı",,,+994 55 100 68 64,3.8,4,pc,Google Business Profile,ChIJRbwMkf-HMEARAd9EHCEajwA
AXIS GAMING ARENA,axis-gaming-arena,yasamal,"Həsən bəy Zərdabi küçəsi 99, Bakı",,,,5.0,1,pc,Google Business Profile,ChIJi2UkKAB9MEARlMfguWzC8Z4
Pixel Cyber Zone,pixel-cyber-zone,yasamal,"Mirmahmud Kazımovski küçəsi 142A, Bakı 1114",,,+994 55 296 60 03,5.0,14,pc,Google Business Profile,ChIJLfnEwLmHMEARATVORXmLZPc
Vegas Gaming Center - Yeni Yasamal,vegas-gaming-center-yeni-yasamal,yasamal,"Murad Mirzəyev küçəsi 4B, Bakı",,,+994 50 689 82 89,4.2,18,pc,Google Business Profile,ChIJy8fj5PyHMEARtfBkCF5g8X4
Vegas Gaming Center - Nizami,vegas-gaming-center-nizami,nizami,"Surxay Noçuyev küçəsi 517, Bakı",,,+994 55 947 28 27,3.7,3,pc,Google Business Profile,ChIJP1XPR2plMEARtWpe8q9wwzc
Vegas Gaming Center - Gəncə prospekti,vegas-gaming-center-ganja-avenue,xatai,"Gəncə prospekti 34, Bakı",,,+994 55 891 88 14,4.7,19,pc,Google Business Profile,ChIJ7zxk7OBlMEAR-Yv1_XCMQFo
Vegas Gaming Center - Gənclik,vegas-gaming-center-genclik,narimanov,"Gənclik prospekti yolu 17, Bakı",,,+994 50 587 82 84,4.3,6,pc,Google Business Profile,ChIJQRShHzBjMEARTG2PL5fBS9M
LaLiga Game Center - Elmlər,laliga-game-center-elmler,yasamal,"Zahid Xəlilov küçəsi 31A, Bakı",,,+994 55 824 64 64,,0,playstation,Tripadvisor Places,27686122
LaLiga Game Center - Əhmədli,laliga-game-center-ahmadli,xatai,"Məhəmməd Hadi küçəsi 136A, Bakı 1149",,,+994 50 668 64 64,,0,playstation,Tripadvisor Places,27686062
LaLiga Game Center - Hüseyn Cavid,laliga-game-center-huseyn-cavid,yasamal,"Hüseyn Cavid prospekti 528, Bakı 1001",,,+994 55 844 64 64,,0,playstation,Tripadvisor Places,27674647
XP,xp-internet-cafe,nasimi,"9R9H+Q5P, Bakı",40.3694375,49.8279375,,,0,pc,Google Business Profile,ChIJNVFd48d9MEARIouzTSco0CY
